OKRSEK (e);M(e);u1;u2;u3;o1;o2;o3
1;6352;2036.5664623557439;2068.776610626549;2246.6569270177074;1.0;0.0;0.0
2;1903;152.35943775004034;422.1042528292244;1328.5363094207353;1.0;0.0;0.0
3;1835;789.90733035;0.0;0.0;1.0;0.0;0.0
4;5103;1780.525337432035;1401.3410935838426;1921.1335689841221;1.0;0.0;0.0
5;3411;1007.3209315608332;1539.0513908193698;408.939951595399;1.0;0.0;0.0
6;6472;2734.954743118416;1769.9044616397132;1134.1328726161191;0.0;0.75;1.0
7;1384;0.0;91.03374845075462;1153.284086078108;0.0;0.75;1.0
8;2802;0.0;753.9110520447234;734.8774707251679;0.0;0.75;0.5
9;1795;264.70208678590626;57.36630842454579;858.781575032587;0.0;0.75;0.5
10;2884;1377.33106758327;770.0595541333773;0.0;0.0;0.75;1.0
11;3697;856.2878504090019;1609.6755308974234;0.0;0.0;0.75;1.0
12;756;0.0;0.0;0.0;0.5;0.75;0.5
13;651;17.117318085692887;0.0;0.0;0.5;0.5;0.0
14;743;0.0;0.0;0.0;0.5;0.75;0.0
15;1696;446.1761771738529;0.0;0.0;0.5;0.5;0.0
16;669;0.0;0.0;0.0;0.0;0.75;0.0
17;2279;175.6452729694072;804.0308616513461;317.23142773363395;0.5;0.5;0.0
